Point Number,Northing,Easting,Point Elevation,Raw Description
115000,934160.6997,576311.3581,388.6509,TOP
115001,934185.3221,576288.1816,387.2827,TOP
115002,934047.8185,576146.5725,406.903,TOP
115003,934026.9803,576169.3256,394.246,TOP
115004,933883.349,576015.4146,422.2539,TOP
115005,933913.4618,576003.0328,420.45,TOP
115006,933588.4097,576123.2096,437.9724,TOP
115007,933373.9814,576200.1019,460.3702,TOP
115008,933159.9847,576278.0425,481.8041,TOP
115009,932956.213,576351.2456,502.7756,TOP
115010,932752.6918,576425.312,553.3872,TOP
115011,932673.5972,576436.1731,570.5718,TOP
115012,932525.7682,576421.1881,570.3777,TOP
115013,932289.1497,576397.2783,570.0571,TOP
115014,932108.2641,576379.3337,533.3452,TOP
115015,931674.5822,576334.825,464.1365,TOP
115016,931459.4901,576314.777,450.4736,TOP
115017,931238.2181,576291.5677,467.4649,TOP
115018,931005.343,576267.0212,458.4022,TOP
115019,931031.2132,576173.3425,468.903,TOP
115020,930882.1012,576183.2316,458.0055,TOP
115021,930847.3649,576253.2777,450.5228,TOP
115022,930683.3481,576133.7704,432.7438,TOP
115023,930572.3699,576208.8814,430.9811,TOP
115024,930497.5134,576151.0907,436.229,TOP
115025,930502.0293,576218.8903,443.6307,TOP
115026,930254.781,576193.2202,456.9142,TOP
115027,930020.6795,576168.3797,462.2186,TOP
115028,929790.5345,576145.3589,478.0619,TOP
115029,929567.6708,576121.9819,495.7463,TOP
115030,929341.9382,576099.4521,513.6129,TOP
115031,929117.6214,576075.4504,525.7841,TOP
115032,928885.3403,576053.3921,538.6814,TOP
115033,928664.7689,576030.8329,547.1328,TOP
115034,928435.4501,576008.2955,555.66,TOP
115035,928207.8035,575987.0913,566.8292,TOP
115036,927986.697,575963.6714,569.5462,TOP
115037,927779.7171,575943.0205,577.0912,TOP
115038,927554.1587,575919.0925,587.6464,TOP
115039,927331.3491,575896.5047,588.8909,TOP
115040,927075.1562,575870.9234,577.5783,TOP
115041,926855.2449,575849.3173,586.1406,TOP
115042,926636.8353,575827.367,600.2768,TOP
115043,926405.0777,575803.1252,618.3706,TOP
115044,926174.6922,575780.5197,636.246,TOP
115045,925937.1063,575756.9738,654.6043,TOP
115046,925713.456,575734.411,658.2641,TOP
115047,925502.5373,575712.5133,641.0558,TOP
115048,925290.3305,575691.1871,635.9532,TOP
115049,925071.9134,575668.1521,649.9918,TOP
115050,924950.7969,575658.3886,663.4877,TOP
115051,924737.764,575636.2284,689.789,TOP
115052,924570.959,575618.7274,682.3882,TOP
115053,924345.4071,575595.8573,674.7557,TOP
115054,924106.3464,575572.3796,651.62,TOP
115055,923879.0789,575548.6249,630.6102,TOP
115056,923638.9981,575524.3872,624.1879,TOP
115057,923450.6051,575505.3311,619.0848,TOP
115058,923224.7021,575483.3988,615.5775,TOP
115059,922999.5275,575460.4064,609.2174,TOP
115060,922776.9749,575438.7888,604.2636,TOP
115061,922550.2427,575415.9074,609.3053,TOP
115062,922416.1039,575400.7853,608.1123,TOP
115063,922226.6841,575355.6187,604.7813,TOP
115064,922037.332,575309.9882,601.7929,TOP
115065,921841.4427,575262.0268,602.2657,TOP
115066,921664.5592,575217.0795,601.7357,TOP
115067,921435.6824,575162.1818,598.3923,TOP
115068,921217.2481,575110.5977,592.7015,TOP
115069,921018.8426,575062.8393,584.2361,TOP
115070,920820.9494,575012.6401,582.8065,TOP
115071,920624.7474,574965.6282,582.2067,TOP
115072,920432.8395,574918.2141,594.0143,TOP
115073,920101.3581,574834.6139,634.1844,TOP
115074,919943.5954,574808.628,624.5125,TOP
115075,919738.9395,574774.7204,611.3949,TOP
115076,919541.8521,574742.0388,605.8401,TOP
115077,919305.1181,574702.2067,600.9829,TOP
115078,919221.1304,574658.1337,584.862,TOP
115079,919140.072,574595.9228,598.4684,TOP
115080,918979.3921,574479.5509,602.8601,TOP
115081,918814.5998,574358.739,612.065,TOP
115082,918655.9208,574242.663,646.8223,TOP
115083,918497.3761,574125.7884,677.1418,TOP
115084,918336.3054,574009.2065,707.4399,TOP
115085,918154.0481,573874.0969,719.454,TOP
115086,917995.2534,573753.232,734.8956,TOP
115087,917786.4402,573660.2848,751.6546,TOP
115088,917612.3493,573618.0337,761.5991,TOP
115089,917414.7743,573568.7632,761.4821,TOP
115090,917220.9935,573521.7992,767.8525,TOP
115091,917106.3896,573494.14,767.9183,TOP
115092,916983.547,573490.4799,765.1465,TOP
115093,916775.4439,573481.9451,760.5236,TOP
115094,916703.6984,573500.5042,758.7882,TOP
115095,916575.7763,573570.822,765.0411,TOP
115096,916450.1738,573639.7048,767.1656,TOP
115097,916261.9545,573742.174,759.1569,TOP
115098,916098.2259,573830.0649,729.403,TOP
115099,915780.9078,574004.8882,677.7966,TOP
115100,915588.7872,574108.3718,665.444,TOP
115101,915447.0337,574182.5462,670.9572,TOP
115102,915188.6073,573930.3205,667.5769,TOP
115103,914900.5741,573657.8778,678.9952,TOP
115104,914852.2638,573857.6406,680.9862,TOP
115105,914796.1004,574103.295,703.5152,TOP
115106,914833.059,574338.395,701.2736,TOP
115107,914869.6227,574559.63,693.9001,TOP
115108,914862.9807,574798.3383,688.3843,TOP
115109,914781.3034,575035.627,676.6941,TOP
115110,914680.774,575251.8618,666.914,TOP
115111,914569.3603,575463.5151,665.5942,TOP
115112,914460.5584,575666.9449,660.8115,TOP
115113,914362.936,575846.287,654.8161,TOP
115114,914170.8499,576017.6218,645.2997,TOP
115115,914046.3759,576094.5283,647.4573,TOP
115116,914005.2342,576212.1354,649.2141,TOP
115117,914038.1426,576387.024,647.7487,TOP
115118,914262.4526,576266.6243,624.7025,TOP
115119,914447.9324,576135.3889,624.1029,TOP
115120,914464.3291,576173.0703,607.3519,TOP
115121,914629.408,576068.7148,625.1695,TOP
115122,914798.2035,575962.3273,607.3062,TOP
115123,914965.9703,575845.5909,606.1295,TOP
115124,915126.3244,575724.3045,625.0362,TOP
115125,916943.5063,574845.6827,627.9611,TOP
115126,917999.5831,574453.6208,798.7061,TOP
115127,918696.8993,573677.7762,867.9928,TOP
115128,918804.4289,573001.3659,894.1098,TOP
115129,918750.0497,572469.1946,858.5999,TOP
115130,918694.8507,571937.54,811.625,TOP
115131,914108.1328,576375.757,626.3837,TOP
115132,923637.0234,575392.0012,616.6748,TOP
115133,934294.4588,576348.8969,381.8452,TOP
